"HS, AL, SK",Kasvatus ja koulutus,Kännykät pitäisi kieltää kouluissa myös välitunneilla.
"HS, AL, SK",Kasvatus ja koulutus,Varhaiskasvatuksen työntekijöitä pitää houkutella kuntaani palkankorotuksilla.
"HS, AL, SK",Kasvatus ja koulutus,"Erityisopettajia ja koulunkäyntiavustajia pitää palkata kouluihin lisää, vaikka se tarkoittaisi kuntaveron korotusta."
"HS, AL",Kulttuuri,"Jos kunnan taloustilanne on heikko, teattereiden ja orkestereiden tuesta voi karsia."
"HS, AL, SK",Kulttuuri,"Lähikirjastojen rahoitus on pidettävä nykytasolla, vaikka kunnassani etsittäisiin säästökohteita"
"HS, AL, SK",Talous,"Kuntani veroprosentin on pysyttävä ennallaan, vaikka olisi paineita menojen kasvattamiseksi."
"HS, AL, SK",Talous,"Kuntaani pitää houkutella vihreän siirtymän investointeja, kuten tuulivoimaa, aurinkovoimaa tai vähäpäästöisiä tehtaita."
"HS, AL",Väestö ja asuminen,"Kunnassani pitää toimia niin, että asuinalueet eivät eriydy liikaa toisistaan asukkaiden varallisuuden tai etnisen taustan mukaan."
"HS, AL, SK",Väestö ja asuminen,Kuntani on pyrittävä saamaan muuttovoittoa ulkomailta väestön vähenemisen estämiseksi.
"HS, AL",Väestö ja asuminen,"Rakentaminen on sallittava luontoalueille, jotta asuntojen hinnat pysyvät kohtuullisina."
"HS, AL, SK",Espoo,Espoon pitäisi painottaa pientalorakentamista korkean ja tiiviin rakentamisen sijaan.
"HS, AL, SK",Espoo,Pysäköinnin on oltava maksutonta Espoossa
"HS, AL, SK",Espoo,Espoon bussiliikennettä on karsittu liikaa metron takia
"HS, AL, SK",Espoo,"Espoo on velkainen kaupunki, ja siksi menoja pitäisi karsia"
"HS, AL, SK",Espoo,Kunnan tulee rajoittaa yksityisten palveluntarjoajien osuutta varhaiskasvatuksessa.
"HS, AL, SK",Helsinki,Helsinki kasvaa liian nopeasti.
"HS, AL, SK",Helsinki,Helsinkiin pitää rakentaa enemmän uusvanhan arkkitehtuurin mukaisia asuintaloja harjakattoineen.
"HS, AL, SK",Helsinki,Nastarenkaat pitää kieltää ydinkeskustassa ilmanlaadun vuoksi.
"HS, AL, SK",Helsinki,Polttomoottoriautoilua pitää rajoittaa tulevalla valtuustokaudella Helsingissä ilmastopäästöjen vähentämiseksi.
"HS, AL, SK",Helsinki,"Helsingissä pitää ottaa käyttöön huumeiden käyttöhuoneet, jos laki sen mahdollistaa."
"HS, AL, SK",Helsinki,Helsingin pitäisi periä terveyskeskusmaksu.
"HS, AL, SK",Helsinki,"Husin erikoissairaanhoidosta pitää säästää enemmän, jotta peruspalvelut pysyvät elossa."
"HS, AL, SK",Helsinki,Helsingin pitää tarjota ilmaisia kuukautistuotteita alle 25-vuotiaille.
"HS, AL, SK",Vantaa,Vantaan uusien pientaloalueiden tieltä saa kaataa metsää.
"HS, AL, SK",Vantaa,Vantaan ratikkaa pitää jatkaa Länsi-Vantaalle.
"HS, AL, SK",Vantaa,Vantaan vanhojen asuinalueiden rapistuneet kadut pitää laittaa vihdoin kuntoon seuraavalla valtuustokaudella.
"HS, AL, SK",Vantaa,"Vantaalla on runsaasti graffititaidetta ulkona, mutta sitä pitäisi verovaroin tilata myös sisätiloihin."
"HS, AL, SK",Vantaa,Yksityisille päiväkodeille tulisi antaa nykyistä suurempi rooli varhaiskasvatuksen palveluntarjoajina.
"HS, AL, SK",Tampere,Yksityisautoilun rajoittaminen Hämeenkadulla on ollut toimiva ratkaisu.
"HS, AL, SK",Tampere,"Jos hyvinvointialue heikentää tamperelaisille tärkeää palvelua olennaisesti, kaupungin on turvattava palvelut, kuten se teki pali-bussien avustajien poistamisen jälkeen."
"HS, AL, SK",Tampere,Ruskon jätteenkäsittelykeskus on siirrettävä nykypaikastaan.
"HS, AL, SK",Tampere,Kaupungin tiivistäminen on mennyt Tampereella liian pitkälle.
"HS, AL, SK",Tampere,"Tampereen kaupungin tavoite on olla hiilineutraali vuoteen 2030 mennessä. Tavoitteesta on joustettava, jos kaupungin talous sitä vaatii."
"HS, AL, SK",Akaa,"Kaupungin pitää tukea nykyistä enemmän teatterin tekemistä, tapahtumia ja muuta kulttuuritoimintaa."
"HS, AL, SK",Akaa,Kaupungin taloutta pitäisi uusien yt-neuvotteluiden sijaan tasapainottaa nostamalla tuloveroprosenttia.
"HS, AL, SK",Akaa,Kaikki sisäilmaongelmien takia käytöstä poistetut koulurakennukset pitäisi purkaa.
"HS, AL, SK",Akaa,Akaanporttia varten tehdyt maanhankinnat pitää lopettaa ja käyttää tästä jäävät varat Toijalaan tekemättä jääneisiin kiertoliittymiin.
"HS, AL, SK",Akaa,"Myönnetystä valtionavusta huolimatta Toijala-tieviittoja ei pidä korvata Akaa-viitoilla, koska kaupungin taloustilanne ei kestä Akaan oman osuuden rahoittamista."
"HS, AL, SK",Hämeenkyrö,Hämeenkyröön tarvitaan reilusti lisää kerros- ja rivitaloja uusien asukkaiden houkuttelemiseksi.
"HS, AL, SK",Hämeenkyrö,Kannatan tuulivoimaloiden rakentamista Hämeenkyröön.
"HS, AL, SK",Hämeenkyrö,Hämeenkyrötalo on kunnalle liian kallis investointi.
"HS, AL, SK",Hämeenkyrö,"Kunnan on laitettava lisää rahaa ikäihmisten hyvinvoinnin edistämiseen, kun hyvinvointialue säästää omista palveluistaan."
"HS, AL, SK",Hämeenkyrö,"Hanhijärven teollisuusalueelle on saatava yrityksiä, vaikka sitten tonttien hinnoista tinkimällä."
"HS, AL, SK",Ikaalinen,Kannatan Ikaalisissa vireillä olevien tuulivoimahankkeiden toteuttamista.
