Mediat,Teema,Kysymys,Editorin kuittaus,Sariannan kuittaus
IL,Aluevaalit,Hyvinvointialueiden kannattaa ostaa nykyistä enemmän palveluita yksityisiltä yrityksiltä.,,
IL,Aluevaalit,Hallitus tekee oikein supistaessaan sairaalaverkkoa esimerkiksi päivystyksiä lakkauttamalla.,,
IL,Aluevaalit,"Vanhusten ympärivuorokautinen hoiva on väärä paikka leikata, ja säästöt tulisi etsiä jostain muualta.",,
IL,Aluevaalit,Sosiaali- ja terveysalan henkilöstöpulaa täytyy helpottaa palkkaamalla työntekijöitä ulkomailta.,,
IL,Aluevaalit,Hyvinvointialueille pitää antaa verotusoikeus.,,
"HS, AL, SK",Arvot,"Jos on pakko valita, on parempi korottaa veroja kuin leikata julkisia palveluita ja sosiaalietuuksia.",,
"HS, AL, SK",Arvot,"Suuret tuloerot ovat hyväksyttäviä, jotta erot ihmisten lahjakkuudessa ja ahkeruudessa voidaan palkita.",,
"HS, AL, SK",Arvot,"Valtion pitäisi puuttua nykyistä voimakkaammin markkinoiden toimintaan, jotta talous olisi kaikille reilu.",,
"HS, AL, SK",Arvot,Suomessa on liian helppo elää sosiaaliturvan varassa.,,
"HS, AL, SK",Arvot,Valtion ja kuntien omistusta yritystoiminnassa tulisi vähentää.,,
"HS, AL, SK",Arvot,Suomen muuttuminen aiempaa monikulttuurisemmaksi ja monimuotoisemmaksi on hyvä asia.,,
"HS, AL, SK",Arvot,Kristilliset arvot ovat hyvä pohja poliittiselle päätöksenteolle.,,
"HS, AL, SK",Arvot,Sukupuolen moninaisuus pitäisi ottaa huomioon Suomessa nykyistä paremmin.,,
"HS, AL, SK",Arvot,"Tottelevaisuus ja auktoriteettien kunnioittaminen ovat tärkeimmät arvot, jotka lapsen tulee oppia.",,
"HS, AL, SK",Arvot,Suomen pitäisi vähentää omia päästöjään riippumatta siitä mitä muut maat tekevät.,,
"HS, AL, SK",Arvot,Poliitikkojen on asetettava Suomen ja suomalaisten etu kaiken muun edelle.,,
"HS, AL, SK",Arvot,"Ympäristön etu tulisi asettaa talouskasvun ja työpaikkojen luomisen edelle, jos ne ovat keskenään ristiriidassa.",,
"HS, AL, SK",Arvot,"Vahva johtaja on Suomelle hyväksi, vaikka hän toimisi sääntöjen rajamailla saadakseen asioita tehtyä.",,
"HS, AL, SK",Arvot,"Koko Suomi tulee pitää asutettuna, vaikka siitä koituisi kustannuksia.",,
"HS, AL, SK",Arvot,Suomen kaupungistuminen on hyvä asia.,,
IL,Arvot,"Ei haittaa, että jotkut ryhmät ovat yhteiskunnassa paremmassa taloudellisessa asemassa kuin toiset.",,
IL,Arvot,"Jos rahat meinaavat loppua, mieluummin nostetaan veroja kuin karsitaan palveluita.",,
IL,Arvot,Sukupuolia on enemmän kuin kaksi.,,
IL,Arvot,Kristillisen kulttuuriperintömme pitää näkyä kouluissa nykyistä enemmän.,,
IL,Arvot,"Keskustelu siitä, että tyttöjä ei saa kutsua tytöiksi ja poikia pojiksi, vain sekoittaa lasten päät.",,
